"","sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"RV/R3.PHL/2005/Z-05-198.267","AB683617","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R3, Nueva Ecija","2005","2005",2005,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2005/Z-05-198"
"RV/R3.PHL/2005/Z-05-507","AB563817","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Bulacan","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2005/Z-05-507"
"RV/R3.PHL/2008/TRa-002.52","AB563838","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-002"
"RV/R3.PHL/2008/TRa-002.300","AB683650","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Pampanga","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-002"
"RV/R3.PHL/2008/TRa-006","AB563840","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-006"
"RV/R3.PHL/2008/TRa-009","AB563841","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-009"
"RV/R3.PHL/2008/TRa-010","AB563842","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-010"
"RV/R3.PHL/2008/TRa-011","AB563843","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-011"
"RV/R3.PHL/2008/TRa-013","AB563844","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Tarlac","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-013"
"RV/R3.PHL/2008/TRa-016","AB563846","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-016"
"RV/R3.PHL/2008/TRa-017","AB683585","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-017"
"RV/R3.PHL/2008/TRa-018.61","AB563847","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-018"
"RV/R3.PHL/2008/TRa-018.268","AB683618","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Zambales","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-018"
"RV/R3.PHL/2008/TRa-019","AB563848","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-019"
"RV/R3.PHL/2008/TRa-020","AB563849","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-020"
"RV/R3.PHL/2008/TRa-021","AB563850","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-021"
"RV/R3.PHL/2008/TRa-022","AB563851","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-022"
"RV/R3.PHL/2008/TRa-038.77","AB563863","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-038"
"RV/R3.PHL/2008/TRa-038.269","AB683619","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Pampanga","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-038"
"RV/R3.PHL/2008/TRa-040","AB563864","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-040"
"RV/R3.PHL/2008/TRa-041","AB563865","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Tarlac","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-041"
"RV/R3.PHL/2008/TRa-045","AB563866","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Pampanga","2008","2008",2008,710,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-045"
"RV/R3.PHL/2008/TRa-047","AB563867","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-047"
"RV/R3.PHL/2008/TRa-048","AB563868","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-048"
"RV/R3.PHL/2008/TRa-049","AB563869","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-049"
"RV/R3.PHL/2008/TRa-051","AB563870","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-051"
"RV/R3.PHL/2008/TRa-059","AB563878","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-059"
"RV/R3.PHL/2008/TRa-060","AB563879","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-060"
"RV/R3.PHL/2008/TRa-061","AB563880","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-061"
"RV/R3.PHL/2008/TRa-062.95","AB563881","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-062"
"RV/R3.PHL/2008/TRa-062.270","AB683620","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Nueva Ecija","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-062"
"RV/R3.PHL/2008/TRa-063","AB563882","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-063"
"RV/R3.PHL/2008/TRa-064","AB563883","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-064"
"RV/R3.PHL/2008/TRa-065","AB563884","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-065"
"RV/R3.PHL/2008/TRa-066","AB563885","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-066"
"RV/R3.PHL/2008/TRa-086","AB563901","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-086"
"RV/R3.PHL/2008/TRa-087","AB563902","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-087"
"RV/R3.PHL/2008/TRa-088.117","AB563903","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-088"
"RV/R3.PHL/2008/TRa-088.271","AB683621","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Pampanga","2008","2008",2008,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-088"
"RV/R3.PHL/2008/TRa-089","AB563904","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-089"
"RV/R3.PHL/2008/TRa-090","AB563905","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-090"
"RV/R3.PHL/2008/TRa-091","AB563906","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-091"
"RV/R3.PHL/2008/TRa-092","AB563907","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-092"
"RV/R3.PHL/2008/TRa-093","AB563908","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-093"
"RV/R3.PHL/2008/TRa-095","AB563910","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-095"
"RV/R3.PHL/2008/TRa-111","AB563924","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-111"
"RV/R3.PHL/2008/TRa-112.139","AB563925","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-112"
"RV/R3.PHL/2008/TRa-112.272","AB683622","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Zambales","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-112"
"RV/R3.PHL/2008/TRa-119","AB563932","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Zambales","2008","2008",2008,743,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2008/TRa-119"
"RV/R3.PHL/2009/TRa-113","AB563926","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-113"
"RV/R3.PHL/2009/TRa-114","AB563927","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-114"
"RV/R3.PHL/2009/TRa-115","AB563928","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-115"
"RV/R3.PHL/2009/TRa-116","AB563929","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-116"
"RV/R3.PHL/2009/TRa-117","AB563930","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-117"
"RV/R3.PHL/2009/TRa-118","AB563931","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-118"
"RV/R3.PHL/2009/TRa-127","AB563937","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-127"
"RV/R3.PHL/2009/TRa-128","AB563938","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-128"
"RV/R3.PHL/2009/TRa-129","AB563939","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-129"
"RV/R3.PHL/2009/TRa-130","AB563940","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-130"
"RV/R3.PHL/2009/TRa-131","AB563941","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Pampanga","2009","2009",2009,805,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-131"
"RV/R3.PHL/2009/TRa-132.236","AB683586","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2009","2009",2009,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-132"
"RV/R3.PHL/2009/TRa-132.273","AB683623","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Nueva Ecija","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-132"
"RV/R3.PHL/2009/TRa-133.156","AB563942","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-133"
"RV/R3.PHL/2009/TRa-133.274","AB683624","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 3, Pampanga","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-133"
"RV/R3.PHL/2009/TRa-134","AB563943","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-134"
"RV/R3.PHL/2009/TRa-135","AB563944","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-135"
"RV/R3.PHL/2009/TRa-136","AB563945","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-136"
"RV/R3.PHL/2009/TRa-201.190","AB563976","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-201"
"RV/R3.PHL/2009/TRa-201.275","AB683625","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R3, Nueva Ecija","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-201"
"RV/R3.PHL/2009/TRa-202","AB563977","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Zambales","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-202"
"RV/R3.PHL/2009/TRa-204","AB563978","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-204"
"RV/R3.PHL/2009/TRa-205.193","AB563979","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-205"
"RV/R3.PHL/2009/TRa-205.276","AB683626","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R3, Nueva Ecija","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-205"
"RV/R3.PHL/2009/TRa-206.194","AB563980","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Pampanga","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-206"
"RV/R3.PHL/2009/TRa-206.277","AB683627","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R3, Pampanga","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R3.PHL/2009/TRa-206"
"RV/R3.PHL/2012/TRa-302","LC018482","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Tarlac","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-302"
"RV/R3.PHL/2012/TRa-303","LC018483","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-303"
"RV/R3.PHL/2012/TRa-305","LC018484","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-305"
"RV/R3.PHL/2012/TRa-306","LC018485","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-306"
"RV/R3.PHL/2012/TRa-307","LC018486","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Tarlac","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-307"
"RV/R3.PHL/2012/TRa-308.374","LC018487","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-308"
"RV/R3.PHL/2012/TRa-308.480","LC018593","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-308"
"RV/R3.PHL/2012/TRa-309","LC018488","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Tarlac","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-309"
"RV/R3.PHL/2012/TRa-310.376","LC018489","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-310"
"RV/R3.PHL/2012/TRa-310.481","LC018594","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-310"
"RV/R3.PHL/2012/TRa-311.377","LC018490","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-311"
"RV/R3.PHL/2012/TRa-311.482","LC018595","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-311"
"RV/R3.PHL/2012/TRa-312","LC018491","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-312"
"RV/R3.PHL/2012/TRa-313","LC018492","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-313"
"RV/R3.PHL/2012/TRa-314","LC018493","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Tarlac","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-314"
"RV/R3.PHL/2012/TRa-315.381","LC018494","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-315"
"RV/R3.PHL/2012/TRa-315.484","LC018597","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-315"
"RV/R3.PHL/2012/TRa-317.382","LC018495","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-317"
"RV/R3.PHL/2012/TRa-317.485","LC018598","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-317"
"RV/R3.PHL/2012/TRa-318.383","LC018496","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-318"
"RV/R3.PHL/2012/TRa-318.486","LC018599","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2012/TRa-318"
"RV/R3.PHL/2013/TRa-313","LC018596","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-313"
"RV/R3.PHL/2013/TRa-346.395","LC018508","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-346"
"RV/R3.PHL/2013/TRa-346.487","LC018600","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-346"
"RV/R3.PHL/2013/TRa-347","LC018509","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-347"
"RV/R3.PHL/2013/TRa-348","LC018510","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-348"
"RV/R3.PHL/2013/TRa-349","LC018511","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-349"
"RV/R3.PHL/2013/TRa-350.399","LC018512","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-350"
"RV/R3.PHL/2013/TRa-350.488","LC018601","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-350"
"RV/R3.PHL/2013/TRa-351.400","LC018513","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-351"
"RV/R3.PHL/2013/TRa-351.489","LC018602","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-351"
"RV/R3.PHL/2013/TRa-352.401","LC018514","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-352"
