sequence.sequenceID,alignment.displayName,sequence.m49_country.display_name,sequence.collection_year,sequence.earliest_collection_year,brgy,place,province,region,,latitude,longitude,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate,seq
LC018493,Asian SEA4,Philippines,2012,2012,,Concepcion,Tarlac,Central Luzon,Region III,,,19/09/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-314,RV/R3.PHL/2012/TRa-314
LC018494,Asian SEA4,Philippines,2012,2012,,San Jose del Monte,Bulacan,Central Luzon,Region III,,,16/12/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-315,RV/R3.PHL/2012/TRa-315
LC018496,Asian SEA4,Philippines,2012,2012,,Marilao,Bulacan,Central Luzon,Region III,,,28/12/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-318,RV/R3.PHL/2012/TRa-318
LC018508,Asian SEA4,Philippines,2013,2013,,San Simon,Pampanga,Central Luzon,Region III,,,16/01/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-346,RV/R3.PHL/2013/TRa-346
LC018509,Asian SEA4,Philippines,2013,2013,,Licab,Nueva Ecija,Central Luzon,Region III,,,23/01/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-347,RV/R3.PHL/2013/TRa-347
LC018510,Asian SEA4,Philippines,2013,2013,,San Antonio,Nueva Ecija,Central Luzon,Region III,,,23/01/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-348,RV/R3.PHL/2013/TRa-348
LC018511,Asian SEA4,Philippines,2013,2013,,San Antonio,Nueva Ecija,Central Luzon,Region III,,,23/01/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-349,RV/R3.PHL/2013/TRa-349
LC018512,Asian SEA4,Philippines,2013,2013,,Malolos,Bulacan,Central Luzon,Region III,14.82958643,120.8367451,05/02/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-350,RV/R3.PHL/2013/TRa-350
LC018514,Asian SEA4,Philippines,2013,2013,,San Jose del Monte,Bulacan,Central Luzon,Region III,,,05/02/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-352,RV/R3.PHL/2013/TRa-352
LC018516,Asian SEA4,Philippines,2013,2013,,Baliuag,Bulacan,Central Luzon,Region III,,,05/02/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-354,RV/R3.PHL/2013/TRa-354
LC018559,Asian SEA4,Philippines,2013,2013,,San Jose del Monte,Bulacan,Central Luzon,Region III,,,21/02/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-442,RV/R3.PHL/2013/TRa-442
LC018561,Asian SEA4,Philippines,2013,2013,,San Jose del Monte,Bulacan,Central Luzon,Region III,,,14/02/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-444,RV/R3.PHL/2013/TRa-444
LC018563,Asian SEA4,Philippines,2013,2013,,Concepcion,Tarlac,Central Luzon,Region III,,,05/03/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-446,RV/R3.PHL/2013/TRa-446
LC018564,Asian SEA4,Philippines,2013,2013,,Santa Maria,Bulacan,Central Luzon,Region III,,,04/03/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-447,RV/R3.PHL/2013/TRa-447
LC018565,Asian SEA4,Philippines,2013,2013,,San Antonio,Nueva Ecija,Central Luzon,Region III,,,11/03/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-448,RV/R3.PHL/2013/TRa-448
LC018566,Asian SEA4,Philippines,2013,2013,,Guiguinto,Bulacan,Central Luzon,Region III,,,18/03/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-449,RV/R3.PHL/2013/TRa-449
LC018568,Asian SEA4,Philippines,2013,2013,,Santa Maria,Bulacan,Central Luzon,Region III,,,18/03/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-451,RV/R3.PHL/2013/TRa-451
LC018570,Asian SEA4,Philippines,2013,2013,,Arayat,Pampanga,Central Luzon,Region III,,,12/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-453,RV/R3.PHL/2013/TRa-453
LC018572,Asian SEA4,Philippines,2013,2013,,Hagonoy,Bulacan,Central Luzon,Region III,,,16/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-455,RV/R3.PHL/2013/TRa-455
LC018574,Asian SEA4,Philippines,2013,2013,,Macabebe,Pampanga,Central Luzon,Region III,,,18/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-457,RV/R3.PHL/2013/TRa-457
LC018575,Asian SEA4,Philippines,2013,2013,,San Fernando,Pampanga,Central Luzon,Region III,,,25/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-458,RV/R3.PHL/2013/TRa-458
LC018576,Asian SEA4,Philippines,2013,2013,,Candaba,Pampanga,Central Luzon,Region III,,,29/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-459,RV/R3.PHL/2013/TRa-459
LC018577,Asian SEA4,Philippines,2013,2013,,San Antonio,Nueva Ecija,Central Luzon,Region III,,,30/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-460,RV/R3.PHL/2013/TRa-460
LC018578,Asian SEA4,Philippines,2013,2013,,Candaba,Pampanga,Central Luzon,Region III,,,02/05/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-461,RV/R3.PHL/2013/TRa-461
LC018579,Asian SEA4,Philippines,2013,2013,,San Jose City,Nueva Ecija,Central Luzon,Region III,15.78462183,120.9975839,20/05/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-462,RV/R3.PHL/2013/TRa-462
LC018580,Asian SEA4,Philippines,2013,2013,,Candaba,Pampanga,Central Luzon,Region III,,,23/05/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-463,RV/R3.PHL/2013/TRa-463
LC018582,Asian SEA4,Philippines,2013,2013,,Zaragosa,Nueva Ecija,Central Luzon,Region III,,,05/06/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-465,RV/R3.PHL/2013/TRa-465
LC018583,Asian SEA4,Philippines,2013,2013,,Talavera,Nueva Ecija,Central Luzon,Region III,,,17/06/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-466,RV/R3.PHL/2013/TRa-466
LC018595,Asian SEA4,Philippines,2012,2012,,,Bulacan,Central Luzon,Region III,,,26/07/2012,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-311,RV/R3.PHL/2012/TRa-311
LC018596,Asian SEA4,Philippines,2012,2012,,,Bulacan,Central Luzon,Region III,,,01/09/2012,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-313,RV/R3.PHL/2013/TRa-313
LC018598,Asian SEA4,Philippines,2012,2012,,,Bulacan,Central Luzon,Region III,,,14/12/2012,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-317,RV/R3.PHL/2012/TRa-317
LC018602,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,05/02/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-351,RV/R3.PHL/2013/TRa-351
LC018604,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,05/02/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-353,RV/R3.PHL/2013/TRa-353
LC018612,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,18/02/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-441,RV/R3.PHL/2013/TRa-441
LC018614,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,18/02/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-443,RV/R3.PHL/2013/TRa-443
LC018616,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,13/02/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-445,RV/R3.PHL/2013/TRa-445
LC018619,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,14/03/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-450,RV/R3.PHL/2013/TRa-450
LC018621,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,19/03/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-452,RV/R3.PHL/2013/TRa-452
LC018623,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,16/04/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-454,RV/R3.PHL/2013/TRa-454
LC018625,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,16/04/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-456,RV/R3.PHL/2013/TRa-456
LC018630,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,17/05/2013,894,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2013/TRa-464,RV/R3.PHL/2013/TRa-464
LC068917,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,01/09/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-509,RV/R3.PHL/2013/TRa-509
LC068919,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,01/07/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-533,RV/R3.PHL/2013/TRa-533
LC068920,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,02/07/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-534,RV/R3.PHL/2013/TRa-534
LC068921,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,03/07/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-535,RV/R3.PHL/2013/TRa-535
LC068922,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,04/07/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-536,RV/R3.PHL/2013/TRa-536
LC068923,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,01/08/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-537,RV/R3.PHL/2013/TRa-537
LC068924,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,05/07/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-538,RV/R3.PHL/2013/TRa-538
LC068925,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,02/08/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-540,RV/R3.PHL/2013/TRa-540
LC068926,Asian SEA4,Philippines,2013,2013,,,Nueva Ecija,Central Luzon,Region III,,,02/09/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-541,RV/R3.PHL/2013/TRa-541
LC068927,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,03/09/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-542,RV/R3.PHL/2013/TRa-542
LC068928,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,01/10/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-543,RV/R3.PHL/2013/TRa-543
LC068929,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,02/10/2013,1575,13-Jul-18,13-Jul-18,Felis catus,-,RV/R3.PHL/2013/TRa-544,RV/R3.PHL/2013/TRa-544
LC068930,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,03/10/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-545,RV/R3.PHL/2013/TRa-545
LC068931,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,04/10/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-547,RV/R3.PHL/2013/TRa-547
LC068933,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,06/10/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-549,RV/R3.PHL/2013/TRa-549
LC068934,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,07/10/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-550,RV/R3.PHL/2013/TRa-550
LC068935,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,01/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-551,RV/R3.PHL/2013/TRa-551
LC068936,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,02/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-552,RV/R3.PHL/2013/TRa-552
LC068937,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,03/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-554,RV/R3.PHL/2013/TRa-554
LC068938,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,04/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-556,RV/R3.PHL/2013/TRa-556
LC068939,Asian SEA4,Philippines,2013,2013,,,Bulacan,Central Luzon,Region III,,,05/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-557,RV/R3.PHL/2013/TRa-557
LC068944,Asian SEA4,Philippines,2013,2013,,,Tarlac,Central Luzon,Region III,,,10/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-581,RV/R3.PHL/2013/TRa-581
LC068945,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,01/12/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-582,RV/R3.PHL/2013/TRa-582
LC068946,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,02/12/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-583,RV/R3.PHL/2013/TRa-583
LC068947,Asian SEA4,Philippines,2013,2013,,,Nueva Ecija,Central Luzon,Region III,,,03/12/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-584,RV/R3.PHL/2013/TRa-584
LC068948,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,04/12/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-586,RV/R3.PHL/2013/TRa-586
LC068949,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,05/12/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-587,RV/R3.PHL/2013/TRa-587
LC068950,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,06/12/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-588,RV/R3.PHL/2013/TRa-588
LC068951,Asian SEA4,Philippines,2013,2013,,,Pampanga,Central Luzon,Region III,,,07/12/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-589,RV/R3.PHL/2013/TRa-589
LC550018,Asian SEA4,Philippines,2019,2019,,,Zambales,Central Luzon,Region III,,,24/10/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,140,140
LC550019,Asian SEA4,Philippines,2019,2019,,,Bulacan,Central Luzon,Region III,,,18/10/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,132,132
LC550020,Asian SEA4,Philippines,2019,2019,,,Bulacan,Central Luzon,Region III,,,18/10/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,131,131
LC550021,Asian SEA4,Philippines,2019,2019,,,Bulacan,Central Luzon,Region III,,,18/10/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,130,130
LC550022,Asian SEA4,Philippines,2019,2019,,,Bulacan,Central Luzon,Region III,,,03/10/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,121,121
LC550023,Asian SEA4,Philippines,2019,2019,,,Nueva Ecija,Central Luzon,Region III,,,03/10/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,120,120
LC550024,Asian SEA4,Philippines,2019,2019,,,Pampanga,Central Luzon,Region III,,,13/08/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,93,93
LC550025,Asian SEA4,Philippines,2019,2019,,,Pampanga,Central Luzon,Region III,,,05/08/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,87,87
LC550026,Asian SEA4,Philippines,2019,2019,,,Pampanga,Central Luzon,Region III,,,05/07/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,66,66
LC550027,Asian SEA4,Philippines,2019,2019,,,Pampanga,Central Luzon,Region III,,,21/06/2019,1353,13-Oct-20,13-Oct-20,Canis lupus familiaris,-,55,55
MN726850,Asian SEA4,Philippines,2015,2015,,CM Recto,Pampanga,Central Luzon,Region III,,,22/10/2015,11653,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,RADDL3-1038,RADDL3-1038
MN857171,Asian SEA4,Philippines,2019,2019,,San Miguel,Bulacan,Central Luzon,Region III,15.17310142,121.0401182,06/05/2019,11922,16-Mar-20,16-Mar-20,Felis catus,-,BAI/BAI3/2019-01/fel,BAI/BAI3/2019-01/fel
R3-731,Asian SEA4,Philippines,,,Sangitan,Cabanatuan,Nueva Ecija,Central Luzon,Region III,15.49243695,120.9899426,09/12/2021,11872,,,Canis familiaris,,R3-731,R3-731
RADDL3-15-172,Asian SEA4,Philippines,,,Cvo,San Jose City,Nueva Ecija,Central Luzon,Region III,15.78462183,120.9975839,12/02/2015,11872,,,Canis familiaris,,RADDL3-15-172,RADDL3-15-172
RADDL3-16-1008,Asian SEA4,Philippines,,,Pamaldan,Cabanatuan ,Nueva Ecija,Central Luzon,Region III,15.49243695,120.9899426,27/10/2016,11872,,,Canis familiaris,,RADDL3-16-1008,RADDL3-16-1008
RADDL3-16-468,Asian SEA4,Philippines,,,Sta Teresita,Angeles  ,Pampanga,Central Luzon,Region III,15.14555779,120.5862479,01/06/2016,11872,,,Canis familiaris,,RADDL3-16-468,RADDL3-16-468
RADDL3-16-521,Asian SEA4,Philippines,,,Bulihan,Malolos,Bulacan,Central Luzon,Region III,14.82958643,120.8367451,15/06/2016,11872,,,Canis familiaris,,RADDL3-16-521,RADDL3-16-521
RADDL3-16-627,Asian SEA4,Philippines,,,Ligas,Malolos,Bulacan,Central Luzon,Region III,14.82958643,120.8367451,27/07/2016,11872,,,Canis familiaris,,RADDL3-16-627,RADDL3-16-627
Z-14-182,Asian SEA4,Philippines,,,San Francisco,Pulilan,Bulacan,Central Luzon,Region III,14.91386664,120.8556301,20/08/2014,11872,,,Canis familiaris,,Z-14-182,Z-14-182
Z-18-159,Asian SEA4,Philippines,,,Sta. Cruz,Guiginto,Bulacan,Central Luzon,Region III,14.83746463,120.8923363,19/07/2018,11872,,,Canis familiaris,,Z-18-159,Z-18-159
Z-98-616,Asian SEA4,Philippines,,,-,San Miguel,Bulacan,Central Luzon,Region III,15.17310142,121.0401182,18/06/1998,11872,,,Canis familiaris,,Z-98-616,Z-98-616
4A-22-104,Asian SEA4,Philippines,,,Sabang,Lipa,Batangas,Calabarzon,Region IV-A,13.94086577,121.1746864,25/01/2022,11872,,,Canis familiaris,,4A-22-104,4A-22-104
4A-22-171,Asian SEA4,Philippines,,,Buenavista,General Trias,Cavite,Calabarzon,Region IV-A,14.32966619,120.8999068,06/02/2022,11872,,,Canis familiaris,,4A-22-171,4A-22-171
4A-22-203,Asian SEA4,Philippines,,,Guiang-Guiang,Lucena City,Quezon,Calabarzon,Region IV-A,13.93834754,121.6153593,11/02/2022,11872,,,Canis familiaris,,4A-22-203,4A-22-203
4A-22-40,Asian SEA4,Philippines,,,-,Batangas  ,Batangas,Calabarzon,Region IV-A,13.7207195,121.103796,10/01/2022,11872,,,Canis familiaris,,4A-22-40,4A-22-40
4A-22-98,Asian SEA4,Philippines,,,Baguio,Tayabas,Quezon,Calabarzon,Region IV-A,14.04055469,121.6122459,22/01/2022,11872,,,Canis familiaris,,4A-22-98,4A-22-98
AB563791,Asian SEA4,Philippines,2004,2004,,Dasmarinas,Cavite,Calabarzon,Region IV-A,14.31850325,120.9657797,22/01/2004,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2004/Z-04-042,RV/R4A.PHL/2004/Z-04-042
AB563792,Asian SEA4,Philippines,2004,2004,,,Laguna,Calabarzon,Region IV-A,,,01/04/2004,699,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2004/Z-04-211,RV/R4A.PHL/2004/Z-04-211
AB563793,Asian SEA4,Philippines,2004,2004,,,Cavite,Calabarzon,Region IV-A,,,01/07/2004,715,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2004/Z-04-389,RV/R4A.PHL/2004/Z-04-389
AB563794,Asian SEA4,Philippines,2004,2004,,Taytay,Rizal,Calabarzon,Region IV-A,14.56080116,121.1315174,05/07/2004,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2004/Z-04-401,RV/R4A.PHL/2004/Z-04-401
AB563795,Asian SEA4,Philippines,2004,2004,,,Cavite,Calabarzon,Region IV-A,,,06/07/2004,715,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2004/Z-04-420,RV/R4A.PHL/2004/Z-04-420
AB563797,Asian SEA4,Philippines,2004,2004,,San Pedro,Laguna,Calabarzon,Region IV-A,14.34936983,121.0384844,22/08/2004,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2004/Z-04-480,RV/R4A.PHL/2004/Z-04-480
AB563801,Asian SEA4,Philippines,2005,2005,,,Laguna,Calabarzon,Region IV-A,,,08/01/2005,840,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2005/Z-05-012,RV/R4A.PHL/2005/Z-05-012
AB563802,Asian SEA4,Philippines,2005,2005,,,Cavite,Calabarzon,Region IV-A,,,09/01/2005,707,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2005/Z-05-017,RV/R4A.PHL/2005/Z-05-017
AB563804,Asian SEA4,Philippines,2005,2005,,,Laguna,Calabarzon,Region IV-A,,,01/03/2005,700,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2005/Z-05-123,RV/R4A.PHL/2005/Z-05-123
AB563818,Asian SEA4,Philippines,2006,2006,,,Batangas,Calabarzon,Region IV-A,,,01/01/2006,807,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-039,RV/R4A.PHL/2006/Z-06-039
AB563819,Asian SEA4,Philippines,2006,2006,,Calamba,Laguna,Calabarzon,Region IV-A,14.18862277,121.1242055,02/05/2006,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-163,RV/R4A.PHL/2006/Z-06-163
AB563820,Asian SEA4,Philippines,2006,2006,,Tanauan,Batangas,Calabarzon,Region IV-A,,,21/05/2006,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-197,RV/R4A.PHL/2006/Z-06-197
AB563823,Asian SEA4,Philippines,2006,2006,,Cavite  ,Cavite,Calabarzon,Region IV-A,14.48021461,120.8978023,06/06/2006,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-231,RV/R4A.PHL/2006/Z-06-231
AB563824,Asian SEA4,Philippines,2006,2006,,Santa Rosa,Laguna,Calabarzon,Region IV-A,,,01/09/2006,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-342,RV/R4A.PHL/2006/Z-06-342
AB563825,Asian SEA4,Philippines,2006,2006,,,Batangas,Calabarzon,Region IV-A,,,01/09/2006,1549,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-345,RV/R4A.PHL/2006/Z-06-345
AB563826,Asian SEA4,Philippines,2006,2006,,Dasmarinas,Cavite,Calabarzon,Region IV-A,14.31850325,120.9657797,08/09/2006,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-348,RV/R4A.PHL/2006/Z-06-348
AB563827,Asian SEA4,Philippines,2006,2006,,Calatagan,Batangas,Calabarzon,Region IV-A,13.86384068,120.6585868,14/09/2006,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-357,RV/R4A.PHL/2006/Z-06-357
AB563828,Asian SEA4,Philippines,2006,2006,,Calamba,Laguna,Calabarzon,Region IV-A,14.18862277,121.1242055,18/09/2006,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R4A.PHL/2006/Z-06-361,RV/R4A.PHL/2006/Z-06-361
